# Auto, Control award run
Timestamp,SinceStart,X,Y,Theta,VelocityX,VelocityY,VelocityTheta,AccelX,AccelY,AccelTheta,NumRings,MagHome,FeedHome,LastTarget,Cycles,AvgCycle
43:25.1,1581,109.8387163,34.09689139,1.522748741,-0.162080962,-0.805956297,-0.070193357,4.990260747,-7.413252902,0.229978719,2,false,true,3,0,NaN
43:25.1,1602,109.8392218,34.08181861,1.52231588,-0.020812352,-0.428957356,0,-9.618413662,61.88536099,4.416988822,2,false,true,3,0,NaN
43:25.1,1626,109.8424757,34.07564122,1.523181602,0,0,0,-25.42151937,48.26137409,-6.763528532,2,false,true,3,0,NaN
43:25.1,1652,109.8378362,34.08187942,1.524913047,-0.145289006,0.408068446,0.057715331,5.224133352,26.49432538,-1.399050692,2,false,true,3,0,NaN
43:25.1,1677,109.8367439,34.08493896,1.525345908,0,0,0,7.585396615,-21.24662513,-3.005952957,2,false,true,3,0,NaN
43:25.2,1701,109.8381107,34.08788613,1.524913047,0,0,0,-9.558140552,-20.60967108,3.027020816,2,false,true,3,0,NaN
43:25.2,1725,109.8353758,34.08199239,1.525778769,-0.097629362,-0.210512602,0.030918787,2.798500621,6.010372332,-0.883387234,2,false,true,3,0,NaN
43:25.2,1743,109.8301914,34.07320074,1.525345908,-0.784912462,-0.716620145,-2.78E-14,-111.7991191,-51.34417708,5.410677699,2,false,true,3,0,NaN
43:25.2,1778,109.8629481,34.0506185,1.524047325,2.20305073,-0.746994334,-0.030918787,150.8508904,-12.11726045,0.736164804,2,false,true,3,0,NaN
43:25.3,1808,109.8495657,34.04823506,1.524480186,-0.50681716,0.238672644,0.03091826,-8.134904741,42.60503942,2.208419192,2,false,true,3,0,NaN
43:25.3,1851,109.8416423,34.06364313,1.527510214,-0.17223565,0.230666148,0.064127126,1.197258421,-12.70709229,-0.630935606,1,false,false,3,0,NaN
43:25.3,1873,109.8443645,34.06954277,1.526644492,0.097264725,0.210681327,-0.030918787,-5.199335761,-11.29203346,1.656403718,1,false,false,3,0,NaN
43:25.4,1902,109.8449313,34.05447196,1.52621163,0.043801386,-0.477063266,-0.022782101,3.702032687,6.505007185,-1.199054562,1,false,false,3,0,NaN
43:25.4,1922,109.8446633,34.04846549,1.52621163,0,0,0,2.791412885,62.56772567,0,1,false,false,3,0,NaN
43:25.4,1941,109.8457596,34.04540737,1.525778769,0,0,0,-12.18080546,33.97891238,4.809539065,1,false,false,3,0,NaN
43:25.4,1960,109.8457596,34.04540737,1.525778769,0,0,0,0,0,0,1,false,false,3,0,NaN
43:25.5,1985,109.8435697,34.05152456,1.526644492,0.253277193,-0.011409629,0.061837574,55.33704428,-41.57470401,4.416988822,1,false,false,3,0,NaN
43:25.5,2009,109.8435697,34.05152456,1.526644492,0,0,0,0,0,0,1,false,false,3,0,NaN
43:25.5,2038,109.8433043,34.04551798,1.526644492,-0.013268716,-0.300329375,-1.11E-14,-0.663436441,-15.01648307,-5.55E-13,1,false,false,3,0,NaN
43:25.6,2084,109.8452346,34.03340651,1.525778769,-0.444915616,0.020042555,0,-43.65768737,25.40627362,1.687566116,1,false,false,3,0,NaN
43:25.6,2118,109.8394893,34.04269313,1.527943075,0,0,0,47.87820113,-77.38899176,-18.0359865,0,false,true,3,0,NaN
